	 ||         <Incremental & Local Search>          ||  <Incremental & Sim. Annealing (Local Step)>  ||  <Incremental & Sim. Annealing (Global Step)>  ||          <Convex Hull & Local Search>          ||   <Convex Hull & Sim. Annealing (Local Step)>  ||  <Convex Hull & Sim. Annealing (Global Step)> 
Size || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound  || min score | max score | min bound | max bound  || min score | max score | min bound | max bound  || min score | max score | min bound | max bound
10	 ||  1.27918  |  3.45070  |  0.45510  |  0.82009  ||  1.19262  |  3.46977  |  0.42887  |  0.81404  ||  1.15919  |  3.55670  |  0.35173  |  0.88428   ||  1.23704  |  3.44899  |  0.45510  |  0.82156   ||  1.16299  |  3.41049  |  0.36599  |  0.82156   ||  1.09684  |  3.55146  |  0.35173  |  0.87063
20	 ||  0.82807  |  3.53836  |  0.25736  |  0.85297  ||  1.07938  |  3.39043  |  0.36748  |  0.81592  ||  0.70873  |  3.44023  |  0.22437  |  0.81696   ||  0.87805  |  3.50224  |  0.32599  |  0.84078   ||  1.05077  |  3.44924  |  0.44648  |  0.80908   ||  0.84480  |  3.49888  |  0.26694  |  0.83367
30	 ||  0.16516  |  0.84142  |  0.16516  |  0.84142  ||  0.17949  |  0.83194  |  0.17949  |  0.83194  ||  0.20503  |  0.84560  |  0.20503  |  0.84560   ||  0.17297  |  0.89357  |  0.17297  |  0.89357   ||  0.21141  |  0.86263  |  0.21141  |  0.86263   ||  0.16234  |  0.86754  |  0.16234  |  0.86754
40	 ||  0.28667  |  1.81163  |  0.14534  |  0.90416  ||  0.54988  |  1.71053  |  0.39601  |  0.82920  ||  0.34046  |  1.82176  |  0.19862  |  0.90335   ||  0.23423  |  1.82546  |  0.12617  |  0.91248   ||  0.40921  |  1.73387  |  0.26874  |  0.86125   ||  0.38840  |  1.75271  |  0.21842  |  0.84157
50	 ||  0.24193  |  0.86087  |  0.24193  |  0.86087  ||  0.26406  |  0.76316  |  0.26406  |  0.76316  ||  0.23428  |  0.78519  |  0.23428  |  0.78519   ||  0.20574  |  0.88276  |  0.20574  |  0.88276   ||  0.26461  |  0.81875  |  0.26461  |  0.81875   ||  0.20178  |  0.83476  |  0.20178  |  0.83476
60	 ||  0.17199  |  0.89522  |  0.17199  |  0.89522  ||  0.21714  |  0.80272  |  0.21714  |  0.80272  ||  0.20841  |  0.82013  |  0.20841  |  0.82013   ||  0.15538  |  0.89954  |  0.15538  |  0.89954   ||  0.23157  |  0.88769  |  0.23157  |  0.88769   ||  0.24463  |  0.85308  |  0.24463  |  0.85308
70	 ||  0.12106  |  0.88827  |  0.12106  |  0.88827  ||  0.13978  |  0.81788  |  0.13978  |  0.81788  ||  0.26107  |  0.83685  |  0.26107  |  0.83685   ||  0.13286  |  0.90555  |  0.13286  |  0.90555   ||  0.20681  |  0.87666  |  0.20681  |  0.87666   ||  0.28469  |  0.79647  |  0.28469  |  0.79647
80	 ||  0.21775  |  1.73441  |  0.12886  |  0.81386  ||  0.38344  |  1.64144  |  0.20084  |  0.76534  ||  1.23012  |  0.71220  |  1.00000  |  0.00000   ||  0.20606  |  1.88822  |  0.13076  |  0.93199   ||  0.39048  |  1.82227  |  0.21685  |  0.89517   ||  0.36522  |  1.68949  |  0.19606  |  0.82083
90	 ||  0.31419  |  1.71662  |  0.18064  |  0.85399  ||  0.50005  |  1.55708  |  0.29345  |  0.77469  ||  0.52903  |  1.58311  |  0.29649  |  0.78978   ||  0.26276  |  1.80433  |  0.14286  |  0.89621   ||  0.45657  |  1.76109  |  0.27013  |  0.87001   ||  0.45289  |  1.63031  |  0.24575  |  0.80539
100	 ||  0.33326  |  1.78443  |  0.17478  |  0.87219  ||  0.41301  |  1.68673  |  0.22776  |  0.82166  ||  0.56727  |  1.65207  |  0.29337  |  0.80238   ||  0.31513  |  1.84950  |  0.16410  |  0.92373   ||  0.50141  |  1.74324  |  0.25202  |  0.86568   ||  0.53579  |  1.52632  |  0.27475  |  0.75757
